Exchange,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
Nasdaq,EXPI,eXp World Holdings: Inc.,10.66,612683734.5,n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/expi
Nasdaq,EXPE,Expedia Group: Inc.,119.74,17838198488,n/a,n/a,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/expe
Nasdaq,EXPD,Expeditors International of Washington: Inc.,75.87,13094409066,n/a,n/a,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/expd
Nasdaq,EXPO,Exponent: Inc.,50.34,2618291681,n/a,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/expo
Nasdaq,ESRX,Express Scripts Holding Company,101.22,57073909200,n/a,1992,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/esrx
Nasdaq,STAY,Extended Stay America: Inc.,18.14,3415538152,n/a,n/a,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/stay
Nasdaq,XOG,Extraction Oil & Gas: Inc.,5.98,1053606106,n/a,2016,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/xog
Nasdaq,EXTR,Extreme Networks: Inc.,6.47,765643489.1,n/a,1999,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/extr
Nasdaq,EYEG,Eyegate Pharmaceuticals: Inc.,0.5251,22812380.34,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/eyeg
Nasdaq,EYEGW,Eyegate Pharmaceuticals: Inc.,0.05,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/eyegw
Nasdaq,EYEN,Eyenovia: Inc.,3.57,35695166.22,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/eyen
Nasdaq,EYPT,EyePoint Pharmaceuticals: Inc.,2.26,214373893.3,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/eypt
Nasdaq,EZPW,EZCORP: Inc.,9.62,525106901.5,n/a,1991,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/ezpw
Nasdaq,FFIV,F5 Networks: Inc.,173.53,10520640445,n/a,1999,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/ffiv
Nasdaq,FB,Facebook: Inc.,138.68,3.98537E+11,n/a,2012,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/fb
Nasdaq,FLMN,Falcon Minerals Corporation,7.75,665376250,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/flmn
Nasdaq,FLMNW,Falcon Minerals Corporation,1.19,0,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/flmnw
Nasdaq,DAVE,Famous Dave&#39;s of America: Inc.,5.29,48096288.54,n/a,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/dave
Nasdaq,FANH,Fanhua Inc.,24.25,854789729.3,35249061,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/fanh
Nasdaq,FARM,Farmer Brothers Company,24.51,416123451.5,n/a,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/farm
Nasdaq,FMAO,Farmers & Merchants Bancorp: Inc.,41.61,385471295.1,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fmao
Nasdaq,FMNB,Farmers National Banc Corp.,13.72,379233436.1,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fmnb
